policy,arrival_rate,mean_reward,std_reward,mean_throughput,mean_latency,mean_energy
DQN,0.0,30.57239730645754,4.229293479965032,0.969,4619.455777555778,915.8326040846232
DQN,0.5,57.366806950835915,6.233263277493264,1.44625,5082.349067533559,970.2922959318882
DQN,1.0,79.46572696607731,8.759924607280505,1.9282499999999998,6207.997168523863,1028.3338700683385
DQN,1.5,83.20901471596518,14.174541113962453,2.2662500000000003,9164.194206868018,1065.21746012848
DQN,2.0,98.25723057406614,17.68450671495756,2.7344999999999997,11263.56242555517,1122.8341846178087
DQN,3.0,127.62592674859562,18.79468422301798,3.56,14499.239595128925,1223.8359070418924
GreedyMinMin,0.0,37.30671646831163,2.4992254712232707,0.9744999999999999,3525.6369047619046,916.9683863093509
GreedyMinMin,0.5,66.900335525176,3.743202161970025,1.46,3562.24891983017,973.1785128675289
GreedyMinMin,1.0,96.75828265566396,5.736624548000099,1.9675,3593.8530182901895,1035.285797703785
GreedyMinMin,1.5,122.8030208265939,7.238806580241904,2.3914999999999997,3615.928430617417,1083.9542257691048
GreedyMinMin,2.0,154.86724824399897,8.073073262958335,2.94525,3645.8413152332832,1153.3481115938039
GreedyMinMin,3.0,212.78021593495777,8.356890687652559,3.9189999999999996,3730.4651886845218,1268.7109787988052
PPO,0.0,37.116670039740185,2.5613556839831375,0.9744999999999999,3557.311309523809,916.9683863093509
PPO,0.5,66.54548564731374,3.774241558860593,1.459,3608.3182165057165,973.1138151609557
PPO,1.0,96.18693741664251,5.89252227963686,1.9665,3683.8454102957585,1035.0799703647488
PPO,1.5,122.1268861819835,7.3594710071656175,2.3899999999999997,3708.5992952824513,1083.8645541389653
PPO,2.0,153.35176023202325,7.889631998149896,2.93825,3840.4712782846823,1152.291236294806
PPO,3.0,208.0397120903899,8.445121972375727,3.90075,4365.9546734034,1266.543679607569
Random,0.0,37.306191468311624,2.499160013857491,0.9744999999999999,3525.7244047619047,916.9683863093509
Random,0.5,66.88577693423339,3.7483274573131373,1.46,3565.1982163669663,973.1691013026942
Random,1.0,96.58788033893451,5.7606268442505275,1.9665,3608.509008317319,1035.233196833485
Random,1.5,122.59968551126299,7.181700779071344,2.391,3646.8786240102977,1083.8571282340258
Random,2.0,154.50969505142422,8.061987723526666,2.9445,3699.7390348731096,1153.2256122180113
Random,3.0,211.73129546733122,8.282083874603,3.91325,3854.1286092510186,1267.981798631488
RoundRobin,0.0,37.30671646831163,2.499225471223269,0.9744999999999999,3525.6369047619046,916.9683863093509
RoundRobin,0.5,66.88323298188597,3.7354665659084687,1.46,3565.0993437118436,973.1785128675289
RoundRobin,1.0,96.73075746692817,5.754175399137109,1.96725,3595.1477424793993,1035.2700682345865
RoundRobin,1.5,122.70542207443881,7.252291707147016,2.391,3624.786385841681,1083.9375788315333
RoundRobin,2.0,154.46492540390835,8.076295877847201,2.94325,3683.4701118260555,1153.202761775406
RoundRobin,3.0,212.05887416421712,8.469116769045621,3.915,3814.0370615180786,1268.0957104000233
SJF,0.0,37.30671646831163,2.4992254712232707,0.9744999999999999,3525.6369047619046,916.9683863093509
SJF,0.5,66.900335525176,3.743202161970025,1.46,3562.24891983017,973.1785128675289
SJF,1.0,96.75828265566396,5.736624548000099,1.9675,3593.8530182901895,1035.285797703785
SJF,1.5,122.8030208265939,7.238806580241904,2.3914999999999997,3615.928430617417,1083.9542257691048
SJF,2.0,154.86724824399897,8.073073262958335,2.94525,3645.8413152332832,1153.3481115938039
SJF,3.0,212.78021593495777,8.356890687652559,3.9189999999999996,3730.4651886845218,1268.7109787988052
