episode_reward,avg_throughput,avg_latency,avg_energy,policy,arrival_rate,episode
37.89375924957402,0.98,3555.9285714285706,916.3120079655641,RoundRobin,0.0,0
38.619556926725785,0.975,3442.488095238094,914.6765435055366,RoundRobin,0.0,1
39.33491760039047,0.975,3578.0357142857147,910.090604341686,RoundRobin,0.0,2
37.58116496997046,0.98,3564.2976190476184,917.0991479472316,RoundRobin,0.0,3
37.18790638387093,0.975,3556.940476190476,916.9113522769595,RoundRobin,0.0,4
37.60772500608347,0.965,3497.5714285714284,913.7205392674639,RoundRobin,0.0,5
34.606447512071966,0.975,3489.797619047617,925.8643003209268,RoundRobin,0.0,6
34.10467510990133,0.97,3591.9226190476197,924.0313675274388,RoundRobin,0.0,7
40.69779401292973,0.98,3411.0178571428555,910.5082965326395,RoundRobin,0.0,8
39.2488507864798,0.97,3424.309523809523,911.6158762119894,RoundRobin,0.0,9
38.46500546875888,0.97,3509.2857142857147,912.4378407365804,RoundRobin,0.0,10
36.19137336312528,0.97,3623.2619047619037,917.2071656249096,RoundRobin,0.0,11
40.09298541611961,0.975,3440.815476190477,910.2863651802126,RoundRobin,0.0,12
35.34011152358939,0.965,3572.8928571428573,919.1675940006604,RoundRobin,0.0,13
34.20212642730588,0.97,3644.119047619047,922.7994778609398,RoundRobin,0.0,14
37.37262141860786,0.98,3534.5238095238087,918.2607071727472,RoundRobin,0.0,15
32.61921809532086,0.98,3658.315476190477,930.2926671426086,RoundRobin,0.0,16
42.30636401381802,0.98,3266.3690476190477,908.2862651014033,RoundRobin,0.0,17
38.17013350283589,0.975,3577.392857142858,913.5965280629208,RoundRobin,0.0,18
34.49159257875291,0.98,3573.452380952383,926.203079406598,RoundRobin,0.0,19
37.89375924957402,0.98,3555.9285714285706,916.312007965564,SJF,0.0,0
38.619556926725785,0.975,3442.488095238094,914.6765435055369,SJF,0.0,1
39.33491760039047,0.975,3578.0357142857147,910.090604341686,SJF,0.0,2
37.58116496997046,0.98,3564.2976190476184,917.0991479472316,SJF,0.0,3
37.18790638387094,0.975,3556.940476190476,916.9113522769594,SJF,0.0,4
37.60772500608346,0.965,3497.5714285714284,913.7205392674639,SJF,0.0,5
34.60644751207195,0.975,3489.797619047617,925.8643003209268,SJF,0.0,6
34.104675109901336,0.97,3591.9226190476197,924.0313675274388,SJF,0.0,7
40.69779401292973,0.98,3411.0178571428555,910.5082965326395,SJF,0.0,8
39.24885078647979,0.97,3424.309523809523,911.6158762119894,SJF,0.0,9
38.46500546875889,0.97,3509.2857142857147,912.4378407365804,SJF,0.0,10
36.1913733631253,0.97,3623.2619047619037,917.2071656249095,SJF,0.0,11
40.092985416119625,0.975,3440.815476190477,910.2863651802126,SJF,0.0,12
35.34011152358939,0.965,3572.8928571428573,919.1675940006604,SJF,0.0,13
34.20212642730588,0.97,3644.119047619047,922.7994778609398,SJF,0.0,14
37.37262141860785,0.98,3534.5238095238087,918.2607071727471,SJF,0.0,15
32.61921809532086,0.98,3658.315476190477,930.2926671426086,SJF,0.0,16
42.306364013818026,0.98,3266.3690476190477,908.2862651014033,SJF,0.0,17
38.170133502835895,0.975,3577.392857142858,913.5965280629208,SJF,0.0,18
34.49159257875291,0.98,3573.452380952383,926.203079406598,SJF,0.0,19
37.89375924957402,0.98,3555.9285714285706,916.312007965564,GreedyMinMin,0.0,0
38.619556926725785,0.975,3442.488095238094,914.6765435055369,GreedyMinMin,0.0,1
39.33491760039047,0.975,3578.0357142857147,910.090604341686,GreedyMinMin,0.0,2
37.58116496997046,0.98,3564.2976190476184,917.0991479472316,GreedyMinMin,0.0,3
37.18790638387094,0.975,3556.940476190476,916.9113522769594,GreedyMinMin,0.0,4
37.60772500608346,0.965,3497.5714285714284,913.7205392674639,GreedyMinMin,0.0,5
34.60644751207195,0.975,3489.797619047617,925.8643003209268,GreedyMinMin,0.0,6
34.104675109901336,0.97,3591.9226190476197,924.0313675274388,GreedyMinMin,0.0,7
40.69779401292973,0.98,3411.0178571428555,910.5082965326395,GreedyMinMin,0.0,8
39.24885078647979,0.97,3424.309523809523,911.6158762119894,GreedyMinMin,0.0,9
38.46500546875889,0.97,3509.2857142857147,912.4378407365804,GreedyMinMin,0.0,10
36.1913733631253,0.97,3623.2619047619037,917.2071656249095,GreedyMinMin,0.0,11
40.092985416119625,0.975,3440.815476190477,910.2863651802126,GreedyMinMin,0.0,12
35.34011152358939,0.965,3572.8928571428573,919.1675940006604,GreedyMinMin,0.0,13
34.20212642730588,0.97,3644.119047619047,922.7994778609398,GreedyMinMin,0.0,14
37.37262141860785,0.98,3534.5238095238087,918.2607071727471,GreedyMinMin,0.0,15
32.61921809532086,0.98,3658.315476190477,930.2926671426086,GreedyMinMin,0.0,16
42.306364013818026,0.98,3266.3690476190477,908.2862651014033,GreedyMinMin,0.0,17
38.170133502835895,0.975,3577.392857142858,913.5965280629208,GreedyMinMin,0.0,18
34.49159257875291,0.98,3573.452380952383,926.203079406598,GreedyMinMin,0.0,19
37.89375924957401,0.98,3555.9285714285706,916.312007965564,Random,0.0,0
38.619556926725785,0.975,3442.488095238094,914.6765435055366,Random,0.0,1
39.334917600390476,0.975,3578.0357142857147,910.090604341686,Random,0.0,2
37.58116496997046,0.98,3564.2976190476184,917.0991479472314,Random,0.0,3
37.18790638387094,0.975,3556.940476190476,916.9113522769595,Random,0.0,4
37.59722500608345,0.965,3499.3214285714284,913.7205392674639,Random,0.0,5
34.60644751207195,0.975,3489.797619047617,925.8643003209268,Random,0.0,6
34.10467510990133,0.97,3591.9226190476197,924.0313675274388,Random,0.0,7
40.69779401292972,0.98,3411.0178571428555,910.5082965326395,Random,0.0,8
39.248850786479785,0.97,3424.309523809523,911.6158762119894,Random,0.0,9
38.465005468758896,0.97,3509.2857142857147,912.4378407365804,Random,0.0,10
36.1913733631253,0.97,3623.2619047619037,917.2071656249096,Random,0.0,11
40.0929854161196,0.975,3440.815476190477,910.2863651802128,Random,0.0,12
35.34011152358939,0.965,3572.8928571428573,919.1675940006606,Random,0.0,13
34.20212642730588,0.97,3644.119047619047,922.7994778609398,Random,0.0,14
