policy,arrival_rate,mean_reward,std_reward,mean_throughput,mean_latency,mean_energy
DQN,0.0,60.964066529547345,4.900325734416918,0.9737499999999999,3919.6557269119776,516.7144986634711
DQN,0.5,102.31747990404529,6.30119271546111,1.45125,4090.0303236409263,572.0885072311637
DQN,1.0,143.25655392524305,9.118952575948375,1.953,4359.564002746694,633.3790930874152
DQN,1.5,177.90612170594875,11.707754576354207,2.3695,4669.833775522222,680.8623134613769
DQN,2.0,206.2983649529257,15.840079293249257,2.8715,6296.298941138321,743.3857621003665
DQN,3.0,192.91391020802342,18.50553468612252,3.40725,15846.46785336677,803.0109240076641
GreedyMinMin,0.0,63.242254365194654,4.596897521777605,0.9744999999999999,3525.6369047619046,516.9683863093508
GreedyMinMin,0.5,106.44476392810061,6.520768958521713,1.46,3566.601134282384,573.1709438993076
GreedyMinMin,1.0,148.5731713601843,8.982021663722,1.9665,3640.178881028243,635.1286330304694
GreedyMinMin,1.5,184.47277832796172,10.979750558578802,2.3877499999999996,3758.1385940807622,683.4675851613306
GreedyMinMin,2.0,222.79793058369665,13.462639914108966,2.92525,4173.142969552939,750.4323173984785
GreedyMinMin,3.0,247.87624165715292,18.862600182001625,3.59425,8313.233941275948,827.804032042787
PPO,0.0,43.12735697565072,15.411991085570664,0.925,6183.284907792253,510.9094003663937
PPO,0.5,71.13170358140846,20.610564910188742,1.34575,7909.120362625836,558.4328613642549
PPO,1.0,111.59175554421593,20.998352196856054,1.84525,8322.572248105374,618.3342164507278
PPO,1.5,138.4247558475832,33.15739674166296,2.2475,9786.082461734095,664.1631240730183
PPO,2.0,179.5737349867991,18.275714173465314,2.788,9713.463445794001,734.0932265076553
PPO,3.0,192.5970303050621,18.697825398797008,3.3665,14958.626473648264,801.2893162795725
Random,0.0,63.21105257948036,4.600266301426652,0.9744999999999999,3530.8372023809525,516.9683863093508
Random,0.5,106.24691279181256,6.577499474182942,1.45975,3609.378796203796,573.020221646447
Random,1.0,146.9183058711799,8.817796655088717,1.9625,3836.1974946847527,634.7217637410673
Random,1.5,181.20032319162388,10.701158742445362,2.38125,4108.247473840529,682.7877879479995
Random,2.0,216.95468518585312,14.375014813062453,2.9017500000000003,5136.238989604246,747.1543213147821
Random,3.0,237.54901079953544,17.472044761275185,3.5575,9744.10456577665,822.2920427087071
RoundRobin,0.0,63.242254365194654,4.596897521777607,0.9744999999999999,3525.6369047619046,516.9683863093508
RoundRobin,0.5,106.30689051583461,6.492143387438649,1.45925,3584.3944062881565,573.0926145696546
RoundRobin,1.0,148.14235051046296,8.656341355924852,1.9657499999999999,3732.9186042833585,634.9402067957553
RoundRobin,1.5,183.35141452489808,10.907739524232955,2.3835,3980.959958846972,682.8942385830301
RoundRobin,2.0,216.76176979599194,14.221209588671899,2.9025,4974.079806983703,747.3406270431587
RoundRobin,3.0,239.04401977827288,17.70267169886198,3.5564999999999998,9550.590483199832,823.4786559837924
SJF,0.0,63.242254365194654,4.596897521777605,0.9744999999999999,3525.6369047619046,516.9683863093508
SJF,0.5,106.44476392810061,6.520768958521713,1.46,3566.601134282384,573.1709438993076
SJF,1.0,148.5731713601843,8.982021663722,1.9665,3640.178881028243,635.1286330304694
SJF,1.5,184.47277832796172,10.979750558578802,2.3877499999999996,3758.1385940807622,683.4675851613306
SJF,2.0,222.79793058369665,13.462639914108966,2.92525,4173.142969552939,750.4323173984785
SJF,3.0,247.87624165715292,18.862600182001625,3.59425,8313.233941275948,827.804032042787
