policy,arrival_rate,mean_reward,std_reward,mean_throughput,mean_latency,mean_energy
DQN,0.0,56.97139503799449,6.496047217222603,0.9712500000000001,4575.242334054834,516.1782264365147
DQN,0.5,98.89530876155602,8.324764956045778,1.4505,4809.398322612845,570.9974519541504
DQN,1.0,138.42330087229402,9.060716050175131,1.94725,5138.173985769703,632.0589828196316
DQN,1.5,173.60943056363857,11.234892842277208,2.3605,5339.017802873651,678.9096939286794
DQN,2.0,207.49249863811707,13.365562802298179,2.883,6311.106977665148,744.898789243838
DQN,3.0,202.03294893623894,19.797731518193107,3.4494999999999996,14732.859035781987,806.7298452736037
GreedyMinMin,0.0,63.242254365194654,4.596897521777605,0.9744999999999999,3525.6369047619046,516.9683863093508
GreedyMinMin,0.5,106.44476392810061,6.520768958521713,1.46,3566.601134282384,573.1709438993076
GreedyMinMin,1.0,148.5731713601843,8.982021663722,1.9665,3640.178881028243,635.1286330304694
GreedyMinMin,1.5,184.47277832796172,10.979750558578802,2.3877499999999996,3758.1385940807622,683.4675851613306
GreedyMinMin,2.0,222.79793058369665,13.462639914108966,2.92525,4173.142969552939,750.4323173984785
GreedyMinMin,3.0,247.87624165715292,18.862600182001625,3.59425,8313.233941275948,827.804032042787
PPO,0.0,62.596283786334595,4.7379071653237235,0.974,3635.259027777777,516.8882430704981
PPO,0.5,104.43817304424715,6.751198790801762,1.455,3818.0394217710395,572.7303856376899
PPO,1.0,142.12775264647084,9.520778959306558,1.9517499999999999,4488.424259484263,633.2250526949354
PPO,1.5,167.90272665777826,14.86892499293555,2.3297499999999998,5904.061200960316,676.0093592046896
PPO,2.0,165.52698614219057,20.626931320933522,2.71325,11006.15180494915,725.3416545421719
PPO,3.0,171.04417231839156,20.0210941932537,3.3095,17802.939480306162,793.7072861996571
Random,0.0,63.21105257948036,4.600266301426652,0.9744999999999999,3530.8372023809525,516.9683863093508
Random,0.5,106.24691279181256,6.577499474182942,1.45975,3609.378796203796,573.020221646447
Random,1.0,146.9183058711799,8.817796655088717,1.9625,3836.1974946847527,634.7217637410673
Random,1.5,181.20032319162388,10.701158742445362,2.38125,4108.247473840529,682.7877879479995
Random,2.0,216.95468518585312,14.375014813062453,2.9017500000000003,5136.238989604246,747.1543213147821
Random,3.0,237.54901079953544,17.472044761275185,3.5575,9744.10456577665,822.2920427087071
RoundRobin,0.0,63.242254365194654,4.596897521777607,0.9744999999999999,3525.6369047619046,516.9683863093508
RoundRobin,0.5,106.30689051583461,6.492143387438649,1.45925,3584.3944062881565,573.0926145696546
RoundRobin,1.0,148.14235051046296,8.656341355924852,1.9657499999999999,3732.9186042833585,634.9402067957553
RoundRobin,1.5,183.35141452489808,10.907739524232955,2.3835,3980.959958846972,682.8942385830301
RoundRobin,2.0,216.76176979599194,14.221209588671899,2.9025,4974.079806983703,747.3406270431587
RoundRobin,3.0,239.04401977827288,17.70267169886198,3.5564999999999998,9550.590483199832,823.4786559837924
SJF,0.0,63.242254365194654,4.596897521777605,0.9744999999999999,3525.6369047619046,516.9683863093508
SJF,0.5,106.44476392810061,6.520768958521713,1.46,3566.601134282384,573.1709438993076
SJF,1.0,148.5731713601843,8.982021663722,1.9665,3640.178881028243,635.1286330304694
SJF,1.5,184.47277832796172,10.979750558578802,2.3877499999999996,3758.1385940807622,683.4675851613306
SJF,2.0,222.79793058369665,13.462639914108966,2.92525,4173.142969552939,750.4323173984785
SJF,3.0,247.87624165715292,18.862600182001625,3.59425,8313.233941275948,827.804032042787
