policy,arrival_rate,mean_reward,std_reward,mean_throughput,mean_latency,mean_energy
DQN,0.0,55.35714022150057,7.68974709548241,0.9672499999999999,4794.680343961594,515.6246665720947
DQN,0.5,98.69227317045659,8.027268222452342,1.452,4834.2700100349,571.328160154001
DQN,1.0,141.1112479474338,8.912531080033624,1.9505,4791.814626650224,632.5192964389972
DQN,1.5,172.2063462250015,11.14315564276478,2.3555,5504.3537058891125,679.0262973094957
DQN,2.0,207.81469672633392,15.2889089457159,2.8739999999999997,6092.747598235701,743.0682265263777
DQN,3.0,211.4574084199252,21.7031147102714,3.46225,13368.394743384746,807.8108346796495
GreedyMinMin,0.0,63.242254365194654,4.596897521777605,0.9744999999999999,3525.6369047619046,516.9683863093508
GreedyMinMin,0.5,106.44476392810061,6.520768958521713,1.46,3566.601134282384,573.1709438993076
GreedyMinMin,1.0,148.5731713601843,8.982021663722,1.9665,3640.178881028243,635.1286330304694
GreedyMinMin,1.5,184.47277832796172,10.979750558578802,2.3877499999999996,3758.1385940807622,683.4675851613306
GreedyMinMin,2.0,222.79793058369665,13.462639914108966,2.92525,4173.142969552939,750.4323173984785
GreedyMinMin,3.0,247.87624165715292,18.862600182001625,3.59425,8313.233941275948,827.804032042787
PPO,0.0,60.43536598950529,5.21460602954823,0.9727499999999999,4000.27003968254,516.5320206585991
PPO,0.5,104.10856448434288,6.912885248521035,1.4555,3926.037777500277,572.3153132759832
PPO,1.0,145.00757702289965,9.020092470619087,1.9587499999999998,4134.937209776396,633.7116995776629
PPO,1.5,177.12036637208797,12.678837907418252,2.3665,4653.929726467798,680.7465829036578
PPO,2.0,192.9264945940178,18.10178101436313,2.81,7771.178929364889,735.6696477446893
PPO,3.0,182.22750419922914,19.211416918874075,3.3222499999999995,16485.78908041101,794.2241419774571
Random,0.0,63.21105257948036,4.600266301426652,0.9744999999999999,3530.8372023809525,516.9683863093508
Random,0.5,106.24691279181256,6.577499474182942,1.45975,3609.378796203796,573.020221646447
Random,1.0,146.9183058711799,8.817796655088717,1.9625,3836.1974946847527,634.7217637410673
Random,1.5,181.20032319162388,10.701158742445362,2.38125,4108.247473840529,682.7877879479995
Random,2.0,216.95468518585312,14.375014813062453,2.9017500000000003,5136.238989604246,747.1543213147821
Random,3.0,237.54901079953544,17.472044761275185,3.5575,9744.10456577665,822.2920427087071
RoundRobin,0.0,63.242254365194654,4.596897521777607,0.9744999999999999,3525.6369047619046,516.9683863093508
RoundRobin,0.5,106.30689051583461,6.492143387438649,1.45925,3584.3944062881565,573.0926145696546
RoundRobin,1.0,148.14235051046296,8.656341355924852,1.9657499999999999,3732.9186042833585,634.9402067957553
RoundRobin,1.5,183.35141452489808,10.907739524232955,2.3835,3980.959958846972,682.8942385830301
RoundRobin,2.0,216.76176979599194,14.221209588671899,2.9025,4974.079806983703,747.3406270431587
RoundRobin,3.0,239.04401977827288,17.70267169886198,3.5564999999999998,9550.590483199832,823.4786559837924
SJF,0.0,63.242254365194654,4.596897521777605,0.9744999999999999,3525.6369047619046,516.9683863093508
SJF,0.5,106.44476392810061,6.520768958521713,1.46,3566.601134282384,573.1709438993076
SJF,1.0,148.5731713601843,8.982021663722,1.9665,3640.178881028243,635.1286330304694
SJF,1.5,184.47277832796172,10.979750558578802,2.3877499999999996,3758.1385940807622,683.4675851613306
SJF,2.0,222.79793058369665,13.462639914108966,2.92525,4173.142969552939,750.4323173984785
SJF,3.0,247.87624165715292,18.862600182001625,3.59425,8313.233941275948,827.804032042787
